node_id,x_m,y_m,z_m,local_length_m,local_width_m
32189,5060.7651661831,5235.6004978321,530.0000000000,240.0000000000,40.0000000000
32190,5062.5082810381,5255.5243917939,530.0000000000,260.0000000000,40.0000000000
32191,5064.2513958930,5275.4482857558,530.0000000000,280.0000000000,40.0000000000
32220,5035.3680739162,4715.8361399695,530.0000000000,-279.9999999999,60.0000000000
32221,5037.1111887711,4735.7600339313,530.0000000000,-260.0000000000,60.0000000000
32222,5038.8543036261,4755.6839278931,530.0000000000,-240.0000000000,60.0000000000
32223,5040.5974184810,4775.6078218550,530.0000000000,-220.0000000000,60.0000000000
32224,5042.3405333360,4795.5317158168,530.0000000000,-200.0000000000,60.0000000000
32225,5044.0836481909,4815.4556097786,530.0000000000,-180.0000000000,60.0000000000
32226,5045.8267630459,4835.3795037405,530.0000000000,-160.0000000000,60.0000000000
32227,5047.5698779008,4855.3033977023,530.0000000000,-140.0000000000,60.0000000000
32228,5049.3129927558,4875.2272916641,530.0000000000,-120.0000000000,60.0000000000
32229,5051.0561076107,4895.1511856260,530.0000000000,-100.0000000000,60.0000000000
32230,5052.7992224657,4915.0750795878,530.0000000000,-80.0000000000,60.0000000000
32231,5054.5423373206,4934.9989735496,530.0000000000,-60.0000000000,60.0000000000
32232,5056.2854521756,4954.9228675115,530.0000000000,-40.0000000000,60.0000000000
32233,5058.0285670306,4974.8467614733,530.0000000000,-20.0000000000,60.0000000000
32234,5059.7716818855,4994.7706554351,530.0000000000,-0.0000000000,60.0000000000
32235,5061.5147967405,5014.6945493970,530.0000000000,20.0000000000,60.0000000000
32236,5063.2579115954,5034.6184433588,530.0000000000,40.0000000000,60.0000000000
32237,5065.0010264504,5054.5423373206,530.0000000000,60.0000000000,60.0000000000
32238,5066.7441413053,5074.4662312825,530.0000000000,80.0000000000,60.0000000000
32239,5068.4872561603,5094.3901252443,530.0000000000,100.0000000000,60.0000000000
32240,5070.2303710152,5114.3140192062,530.0000000000,120.0000000000,60.0000000000
32241,5071.9734858702,5134.2379131680,530.0000000000,140.0000000000,60.0000000000
32242,5073.7166007251,5154.1618071298,530.0000000000,160.0000000000,60.0000000000
32243,5075.4597155801,5174.0857010917,530.0000000000,180.0000000000,60.0000000000
32244,5077.2028304350,5194.0095950535,530.0000000000,200.0000000000,60.0000000000
32245,5078.9459452900,5213.9334890153,530.0000000000,220.0000000000,60.0000000000
32246,5080.6890601449,5233.8573829772,530.0000000000,240.0000000000,60.0000000000
32247,5082.4321749999,5253.7812769390,530.0000000000,260.0000000000,60.0000000000
32248,5084.1752898548,5273.7051709008,530.0000000000,280.0000000000,60.0000000000
32277,5055.2919678780,4714.0930251145,530.0000000000,-280.0000000000,80.0000000000
32278,5057.0350827329,4734.0169190763,530.0000000000,-260.0000000000,80.0000000000
32279,5058.7781975879,4753.9408130382,530.0000000000,-240.0000000000,80.0000000000
32280,5060.5213124429,4773.8647070000,530.0000000000,-220.0000000000,80.0000000000
32281,5062.2644272978,4793.7886009618,530.0000000000,-200.0000000000,80.0000000000
32282,5064.0075421528,4813.7124949237,530.0000000000,-180.0000000000,80.0000000000
32283,5065.7506570077,4833.6363888855,530.0000000000,-160.0000000000,80.0000000000
32284,5067.4937718627,4853.5602828473,530.0000000000,-140.0000000000,80.0000000000
32285,5069.2368867176,4873.4841768092,530.0000000000,-120.0000000000,80.0000000000
32286,5070.9800015726,4893.4080707710,530.0000000000,-100.0000000000,80.0000000000
32287,5072.7231164275,4913.3319647328,530.0000000000,-80.0000000001,80.0000000000
32288,5074.4662312825,4933.2558586947,530.0000000000,-60.0000000000,80.0000000000
32289,5076.2093461374,4953.1797526565,530.0000000000,-40.0000000000,80.0000000000
32290,5077.9524609924,4973.1036466184,530.0000000000,-20.0000000000,80.0000000000
32291,5079.6955758473,4993.0275405802,530.0000000000,0.0000000000,80.0000000000
